dataset,portfolio,model,alpha,seed,test_loss,coverage_rate,coverage_error,avg_exceedance_loss,mean_var,mean_es,uc_stat,uc_p_value,cc_stat,cc_p_value,n_train,n_val,n_test,n_total,date_start,date_end,var_perm_mean_drift,var_perm_max_drift,es_perm_mean_drift,es_perm_max_drift,n_perm,run_dir
industry12,vol_scaled,set_attention,0.01,789.0,0.00033148697534220997,0.008537206931702344,0.0014627930682976562,0.006546052172780037,-0.02498035691678524,-0.03168525919318199,1.784693895006285,0.18157399792579876,2.0513772708940223,0.35854947049609676,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,8.534418172168046e-10,5.960464477539063e-08,1.2923346837112604e-09,8.940696716308594e-08,100.0,artifacts\industry12__vol_scaled__set_attention__alpha_0.01__seed_789
industry12,vol_scaled,set_attention,0.05,1024.0,0.0009023746915605911,0.0605249745158002,0.0105249745158002,0.004127310123294592,-0.012137332931160927,-0.01568097248673439,17.19993971876511,3.3644702945978544e-05,17.222457408518494,0.0001820500872171671,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,4.778716311548692e-10,2.2351741790771484e-08,7.096817022933521e-10,2.2351741790771484e-08,100.0,artifacts\industry12__vol_scaled__set_attention__alpha_0.05__seed_1024
industry12,vol_scaled,set_attention,0.05,123.0,0.000920112269527538,0.05619266055045872,0.006192660550458716,0.004628979600965977,-0.012274150736629963,-0.016632305458188057,6.1025904201351295,0.013498387056956829,7.204833595209948,0.02725776627378773,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,5.227729360512967e-10,2.9802322387695312e-08,8.281946795030137e-10,2.9802322387695312e-08,100.0,artifacts\industry12__vol_scaled__set_attention__alpha_0.05__seed_123
industry12,vol_scaled,set_attention,0.05,42.0,0.0009649487756521163,0.0704638124362895,0.020463812436289502,0.004026057664304972,-0.012772663496434689,-0.017011776566505432,61.72693116510163,3.9968028886505635e-15,62.4519728868313,2.7422508708241367e-14,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,5.372784439572342e-10,2.9802322387695312e-08,9.046658422384724e-10,2.9802322387695312e-08,100.0,artifacts\industry12__vol_scaled__set_attention__alpha_0.05__seed_42
industry12,vol_scaled,set_attention,0.05,456.0,0.0009343503794830319,0.07033639143730887,0.020336391437308865,0.004484445322304964,-0.011442814953625202,-0.015541929751634598,60.9991726088233,5.662137425588298e-15,62.085757421368726,3.297362383136715e-14,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,4.760908889345217e-10,1.4901161193847656e-08,7.431297244231416e-10,2.2351741790771484e-08,100.0,artifacts\industry12__vol_scaled__set_attention__alpha_0.05__seed_456
industry12,vol_scaled,set_attention,0.05,789.0,0.0009582425733728222,0.08053007135575943,0.030530071355759428,0.00444768788293004,-0.011032291688024998,-0.014856858178973198,131.01593209753537,0.0,131.23538117928183,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,4.240441331404554e-10,1.4901161193847656e-08,6.471291835730142e-10,1.4901161193847656e-08,100.0,artifacts\industry12__vol_scaled__set_attention__alpha_0.05__seed_789
industry49,equal_weight,flatten_mlp,0.01,1024.0,0.0004200105925665449,0.028924566768603464,0.018924566768603462,0.005861754063516855,-0.020941058173775673,-0.027430452406406403,188.0135483285385,0.0,353.5743407248192,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.0031062683556228876,0.08016795665025711,0.0068379854783415794,0.0801076889038086,100.0,artifacts\industry49__equal_weight__flatten_mlp__alpha_0.01__seed_1024
industry49,equal_weight,flatten_mlp,0.01,123.0,0.0004137976103209274,0.030071355759429153,0.02007135575942915,0.005837532225996256,-0.019888058304786682,-0.022647516801953316,207.84171065332293,0.0,290.4593934943241,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.002627850975841284,0.0829857885837555,0.003687984077259898,0.10756932944059372,100.0,artifacts\industry49__equal_weight__flatten_mlp__alpha_0.01__seed_123
industry49,equal_weight,flatten_mlp,0.01,42.0,0.0003977969623060193,0.020132517838939858,0.010132517838939857,0.006137907970696688,-0.023237410932779312,-0.02992592751979828,62.89805233619336,2.220446049250313e-15,181.3381754295424,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.00505912397056818,0.10812872648239136,0.007666938938200474,0.10575452446937561,100.0,artifacts\industry49__equal_weight__flatten_mlp__alpha_0.01__seed_42
industry49,equal_weight,flatten_mlp,0.01,456.0,0.0003744990283456725,0.02420998980632008,0.014209989806320081,0.005136721767485142,-0.022625284269452095,-0.025587048381567,114.55691676640936,0.0,247.30296892367437,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.00287510990165174,0.06197430193424225,0.00435450067743659,0.05692756548523903,100.0,artifacts\industry49__equal_weight__flatten_mlp__alpha_0.01__seed_456
